notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
3/30/2020,Temporary Plant Layoff,"Peninsula Hotel New York, LLC","700 5th Avenue New York, NY 10019",(212) 903-3912,Hotel,459,-----,3/29/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO and UNITE HERE",Temporary Plant Layoff
4/22/2020,Temporary Plant Layoff,"Deluxe Creative Services, Inc.","44 West 18th Street New York, NY 10011",(747) 400-7986,Visual Effects and Post Production Services,19,-----,3/25/2020 – 4/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/23/2020,Temporary Plant Layoff,"Deluxe Creative Services, Inc.","218 West 18th Street New York, NY 10011",(747) 400-7986,Visual Effects and Post Production Services,66,-----,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
2/19/2020,Plant Layoff,CBRE,"275 7th Avenue, 17th Floor New York, NY 10011",(214) 438-8850,Commercial Real Estate Services,46,57,Separations for 40 employees will occur on 5/22/2020. An additional 6 employees will be separated effective 7/15/2020.,Reduction in workload due to a change in business priorities.,The employees are not represented by a union.,Plant Layoff
4/9/2020,Temporary Plant Layoff,"Slocum Dickson Medical Group, PLLC","1729 Burrstone Road New Hartford, NY 13413",(315) 624-1962,Medical Facility,42,-----,32 employees were separated on 4/3/2020. An additional 10 employees have been temporarily separated effective 4/17/2020.,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/17/2020,Plant Layoff,One Kings Lane,"250 Hudson Street, 11th Floor New York, NY 10013",(212) 430-7612,Interior Design,16,------,4/16/2020 and 4/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
1/24/2020,Possible Plant Layoff,Fairway Group Holdings Corp.,"Harlem 2328 12th Avenue New York, NY 10027",(646) 616-8090,Grocery Store,165,2479,"Layoffs that may happen at the Corporate Office will occur between 4/8/2020 and 5/7/2020.  Due to delays relating to the Company’s efforts to sell the Red Hook, Douglaston, Westbury, and Plainview stores, the company expects layoffs to occur between 5/1/2020 and 5/15/2020.",Economic,"UFCW, Local 1500; UFCW, Local 1262; UFCW, Local 371",Possible Plant Layoff
3/27/2020,Temporary Plant Layoff,"F21 OpCo, LLC dba Forever 21","435 Seventh Avenue New York, NY 10120",(213) 765-2966,Retail Store,429,-----,3/29/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/22/2020,Temporary Reduction in Work Hours,"Anesthesia Group of Albany, P.C.","1450 Western Avenue, Suite 102 Albany, NY 12203",(518) 463-0050 Ext,Health Care,95,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Reduction in Work Hours
4/24/2020,Plant Closing,Semiconductor Components Industries LLC dba ON Semiconductor,"1964 Lake Avenue Rochester, NY 14615",(585) 784-5519,"Wafer fab, assembly, and test operations",104,-----,7/30/2020 and 10/30/2020,Economic,The employees are not represented by a union,Plant Closing
