notice_date,event_number,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
4/27/2020,2019-1582,Temporary Plant Layoff,"OS Restaurant Services, LLC (Bloomin Brands- Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Central Region locations,Onondaga County,(813) 282-1225,Restaurant,174,174,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/27/2020,2019-1585,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Capital Region locations,Albany/Saratoga/Warren County,(813) 282-1225,Restaurant,260,260,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,2019-1583,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Finger Lakes Region locations,Monroe/Ontario County,(813) 282-1225,Restaurant,239,239,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,2019-1584,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Western Region locations,Erie County,(813) 282-1225,Restaurant,289,289,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,2019-1586,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Southern Region locations,Broome/Chemung County,(813) 282-1225,Restaurant,154,154,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,2019-1576,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple New York City locations,New York/Richmond/Queens/Kings/Bronx County,(813) 282-1225,Restaurant,447,447,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,2019-1581,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Mid-Hudson locations,Westchester/Dutchess/Rockland/Orange County,(813) 282-1225,Restaurant,393,393,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,2019-1580,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Long Island Region locations,Nassau /Suffolk County,(813) 282-1225,Restaurant,696,696,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
5/1/2020,2019-1600,Temporary Plant Layoff,"LH Employment Services, LLC",(4 NYC sites),New York County,(212) 244-8866,Restaurant,274,274,5/1/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/30/2020,2019-1601,Plant Closing,"Truck-Lite Co, LLC","310 E. Elmwood AvenueFalconer, NY 14733",Chautauqua County,(716) 661-1141,Producer of LED safety lighting,97,97,Layoffs,Economic,International Association of Machinists and Aerospace Workers and its Local Lodge No. 2495,Plant Closing
